province,date,ab_size_ha
AB,2004-07-08,1.6883653885
AB,2004-07-01,17.7232190927
AB,2004-07-21,19.3785696603
AB,2004-05-01,19.5475824282
AB,2004-04-05,10.3741484781
AB,2004-04-08,416.10751637
AB,2004-06-04,13.7123089071
AB,2004-04-10,5.38132132519
AB,2004-06-30,2.42594802125
AB,2004-04-11,3.58934901956
AB,2004-04-18,1.98695604183
AB,2004-07-01,0.7544967624
AB,2004-04-07,314.982512359
AB,2004-07-17,2.35435647863
AB,2004-04-04,14.4428430129
AB,2004-06-20,1.76064249095
AB,2004-07-09,1.0185191974
AB,2004-05-01,24.0689767438
AB,2004-07-17,2.07164024136
AB,,4.14218944273
AB,2004-07-11,4.62133320056
AB,,4.32159839442
AB,2004-07-17,177.57930138
AB,2004-07-17,286.827466761
AB,2004-07-21,276.114603515
AB,2004-07-15,49.8004901868
AB,2005-06-01,21082.0039669
AB,2005-05-14,35.9208396836
AB,2005-07-03,3.2856569095
AB,2005-06-08,1770.02121567
AB,2005-05-09,32.9467842499
AB,2005-04-21,3565.19442663
AB,2005-06-08,50.6440206243
AB,2005-04-21,1.44241382974
AB,2005-06-08,18.0433596254
AB,2005-06-09,147.294348697
AB,2005-06-30,355.671291623
AB,2005-06-07,317.697101158
AB,2005-07-01,8.53907206173
AB,2005-07-03,12.9885366127
AB,2005-05-03,5.37277411838
AB,2005-05-08,7014.2933734
AB,2005-05-31,5.46789504121
AB,2005-07-11,3.49672594349
AB,2005-06-09,59.0951279455
AB,2005-06-21,12.9740251046
AB,2005-06-09,74.5044251555
AB,2005-04-20,2.1592318866
AB,2005-05-13,72.7298700334
AB,2005-05-26,48.8522119242
AB,2005-04-22,1.404238937
AB,2005-04-15,14.994410523
AB,2005-06-30,14.8684925155
AB,2005-06-09,38.3312090087
AB,2005-04-22,6.07345717033
AB,2005-05-06,245.149029128
AB,2005-04-23,1.36746706252
AB,2005-06-08,7.8750483002
AB,2005-04-22,7.2307153676
AB,2005-04-30,4.7508381425
AB,2005-05-02,1.9061603443
AB,2005-06-08,2.1378328609
AB,2005-07-12,1.43102817091
AB,2005-05-15,18.7978509363
AB,2005-06-08,21.3575440098
AB,2005-06-07,53.3311532015
AB,2005-11-22,7.81812294953
AB,2005-05-31,11.3567670382
AB,2005-06-09,2.7492208609
AB,2005-04-20,1.37831508085
AB,2005-04-30,6.60862424541
AB,2005-10-13,1.68614585797
AB,2005-07-01,58.7387663326
AB,2005-09-05,4.0748571434
AB,2005-11-22,7.73592260005
AB,2005-06-03,35.638493146
AB,2005-12-26,0.852995306
AB,2005-06-09,5.94634091754
AB,2005-06-11,0.2883315876
AB,2005-05-02,1.15897694856
AB,2005-04-24,1.43741280018
AB,2005-05-29,8.7810897011
AB,2005-06-21,0.561168381939
AB,2005-03-09,5.94206948483
AB,2005-05-08,1.7201696097
AB,2005-06-02,14.432906739
AB,2005-05-31,2.08082862772
AB,2005-11-22,18.6188253216
AB,2005-05-30,1.47152665744
AB,2005-05-04,3.75101920999
AB,2005-05-12,3.7798627847
AB,2005-03-15,1.8108683114
AB,2005-06-21,1.535592183
AB,2005-04-23,2.96481894893
AB,2005-06-01,1.01763351653
AB,2005-06-02,1.7401485061
AB,2005-06-09,1.5277447393
AB,2005-06-30,2.84408278865
AB,2005-05-08,1.9094675453
AB,2005-06-08,1.52339688676
AB,2005-05-11,3.8952928552
AB,2005-05-25,4.06092736191
AB,2005-04-22,12.6490009505
AB,2005-04-22,6.4898338902
AB,2005-11-10,6.982423904
AB,2005-06-03,11.1182249786
AB,2005-05-31,2.3263090043
AB,2005-05-15,2.00627873794
AB,2005-06-02,1.17614183274
AB,2005-04-22,12.4070948045
AB,2005-06-30,4.2276235079
AB,2005-10-07,8.61161986247
AB,2005-05-14,9.34958677157
AB,2005-08-04,1.66559940316
AB,2005-06-07,6.60366823849
AB,2005-05-05,1.5159856637
AB,2005-04-27,348.439665086
AB,2005-05-04,1.37934119081
AB,2005-04-29,115.090226652
AB,2005-05-15,10.8019266116
AB,2005-06-09,7.73563029547
AB,2005-10-09,3.92518217691
AB,2005-11-22,21.3653457258
AB,2005-05-31,2.29669225838
AB,2005-07-01,14.6571668255
AB,2005-05-14,3.1460559345
AB,2005-06-02,24.7755356293
AB,2005-06-29,6.2505457364
AB,2005-04-24,1.87500264624
AB,2005-07-02,2.75629113282
AB,2005-06-08,3.8696497454
AB,2005-06-08,71.2281771348
AB,,32.0689413832
AB,,86.3736463124
AB,2005-06-03,20102.9840029
AB,,3.24238157866
AB,,5.76358702205
AB,,13.775109548
AB,,5.31189636739
AB,,9.45483458779
AB,,4.05294605487
AB,,48.9080036231
AB,,7.8360503305
AB,,11.0434712363
AB,2006-07-02,1962.55626906
AB,2006-05-15,892.821987622
AB,2006-06-16,5568.94499402
AB,2006-07-03,1679.80410581
AB,2006-07-03,19.3248921084
AB,2006-06-29,170.242774177
AB,2006-05-19,1629.12753972
AB,2006-06-01,5231.18452457
AB,2006-07-02,116.670302087
AB,2006-04-25,299.516390037
AB,2006-06-28,75.5654561917
AB,2006-06-27,692.184748179
AB,2006-06-29,1337.12029164
AB,2006-06-27,2564.76494749
AB,2006-06-14,7.9635226472
AB,2006-07-04,519.63952542
AB,2006-06-26,14790.0767273
AB,2006-06-27,505.90990142
AB,2006-06-29,9854.7797302
AB,2006-06-28,4340.36969577
AB,2006-07-04,359.879537363
AB,2006-06-29,22.6364465293
AB,2006-08-22,1654.00652521
AB,2006-07-04,126.482307655
AB,2006-07-03,1236.63153286
AB,2006-06-29,4089.85313428
AB,2006-06-28,843.950902439
AB,2006-06-18,23048.5153467
AB,2006-06-28,19.8958435861
AB,2006-06-28,2700.86735235
AB,2006-04-22,1345.08498403
AB,2006-05-19,23.5769933878
AB,2006-06-29,5837.14543168
AB,2006-07-04,5569.56201181
AB,2006-07-04,20.9929079311
AB,2006-06-30,157.847419461
AB,2006-03-06,40023.7453897
AB,2006-07-05,110.44918899
AB,2006-07-04,122.127947599
AB,2006-07-04,1.81930107024
AB,2006-06-29,1.9431703336
AB,2006-06-16,72.7916456481
AB,2006-07-23,49.5228814983
