province,date,bc_size_ha
BC,2006-07-04,43.7121680307
BC,2006-04-19,0.0679687740712
BC,2006-06-23,0.854552077498
BC,2006-06-29,1.2420485353
BC,2006-06-08,1.14439968315
BC,2006-06-30,1.2406806808
BC,2006-10-09,0.13940641155
BC,2006-07-20,0.536840733
BC,2006-06-27,0.0066998092831
BC,2006-05-18,4.57489687357
BC,2006-04-25,0.433603555966
BC,2006-07-01,0.305195831019
BC,2006-06-15,0.308374299106
BC,2006-09-04,127.053129704
BC,2006-05-10,2.13729965987
BC,2006-04-29,19.0727291243
BC,2006-09-20,2.0403225187
BC,2006-07-29,2.1653265583
BC,2006-07-07,1211.00071465
BC,2006-07-25,18.2121597646
BC,2006-08-21,187.716100557
BC,2006-07-24,172.305131347
BC,2006-09-08,134.302470234
BC,2006-08-28,145.878562262
BC,2006-07-24,127.990044704
BC,2006-07-24,216.278937535
BC,2006-08-23,6.78846276168
BC,2006-08-01,21.0152664079
BC,2006-05-16,97.3889668087
BC,2006-05-16,246.116996465
BC,2006-08-01,34.863419503
BC,2006-09-13,92.2767904107
BC,2006-07-29,1.20562936
BC,2006-08-30,44.5653827322
BC,2006-06-05,12.5178220916
BC,2006-09-07,0.0783015248613
BC,2006-07-20,58.0099398013
BC,2006-05-04,4.04878362132
BC,2006-04-24,154.4553402
BC,2006-09-10,511.223602051
BC,2006-07-22,1.81332440506
BC,2006-05-29,1.682437036
BC,2006-07-07,142.206526495
BC,2006-07-26,139.831415384
BC,2006-07-03,115.575053364
BC,2006-07-16,2.984928289
BC,2006-05-18,1.1089353742
BC,2006-05-22,0.4721162273
BC,2006-06-30,0.813506464683
BC,2006-06-20,0.289052988146
BC,2006-04-25,4.23667712706
BC,2006-07-06,0.857778423963
BC,2006-05-04,6.05067329552
BC,2006-08-03,4.9446001669
BC,2006-08-06,1.8120620948
BC,2006-06-04,0.388987106403
BC,2006-08-05,55.4426522096
BC,2006-06-27,0.0105856682296
BC,2006-06-11,0.686756124484
BC,2006-05-19,2.62311282871
BC,2006-06-12,2.8692797069
BC,2006-07-02,2.3838462215
BC,2006-07-23,0.382607298396
BC,2006-04-18,2.2384525395
BC,2006-04-29,2.15055231622
BC,2006-07-05,0.0521722487753
BC,2006-08-02,9.3859314231
BC,2006-10-06,2.08352874866
BC,2006-06-29,0.440177807593
BC,2006-08-18,8.390004271
BC,2006-06-03,4.89207421621
BC,2006-09-09,2.119871607
BC,2006-05-18,45.7989832529
BC,2006-05-02,1.05179146377
